Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
cell_id,34ca0703-429f-4920-8a08-dd4c61b29444,,,"Identifier corresponding to each individual cell. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,string,,,,,,"data, assigned metadata, calculated metadata, annotations, tooling",
gene,39a71ba6-895b-4e81-8f00-cb7505fc3ae6,gene_symbol,,A vector of gene symbols. This is broadly useful in the community for defining genes. This is called `gene_symbol` in BKP. CELLxGENE uses a very specific version of ensembl_id for the INDEX.,,,,,,,,,"data, analysis",
ensembl_id,0925b6b6-c117-4f6b-964f-f46368127512,gene_identifier,,A vector of corresponding Ensembl IDs for each gene symbol. This is required for disambiguation of gene symbols; called gene_identifier in BKP. This is optional for AIT.,,,,,,,,,data,
biotype,3d0fc718-4ca7-4e98-8185-d45212a80415,,,"The biotype from the gtf file (e.g., protein_coding); used in BKP and BICAN for filtering of genes (but optional elsewhere).",,,,,,,,,data,
gene_name,612f27c3-12c5-4db4-b0af-894972c42907,gene_full_name,,Longer gene name from the gtf file; used in BKP (optional for now).,,,,,,,,,data,
[additional gene info],0332caff-8232-45b4-b4d1-079f973a8504,,,"Optional uncontrolled gene info; could include gene length, Genecode IDs, NCBI identifiers, etc.",,,,,,,,,data,
dataset_metadata,92e98047-7e37-42bb-9ba7-42dfae3698f5,,,"Information about the data set itself. This could include some combination of information recorded for Annotations: description, dataset_url, title, dataset_doi, author_list, author_name, author_contact, orcid, etc.",,,,,,,,,data,
