Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,nullable,Permissible Values (incl Null),Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
antemortem MRI available,43a04caa-4f28-47ac-8a9d-74c40f10776f,antemortem_mri_available,General Specimen Data,"The status (available, unavailable) of antemortem MRI images of a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
postmortem MRI available,0badd072-0c25-48c6-9357-44d5b5bc0818,postmortem_mri_available,General Specimen Data,"The status (available, unavailable) of postmortem MRI images of a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
postmortem MRI type,64a607a9-21e6-4c73-8f2e-2d67b0dc51c8,postmortem_mri_type,General Specimen Data,"The type of postmortem MRI that is available (cadeveric, fresh ex vivo, fixed ex vivo).",TRUE,,exclusive_categorical,,,,,,,1,8-Jul-24
non-brain tissue available,3a064c96-a956-4cf3-8b77-056b8e392f99,non_brain_tissue_available,Non-Brain Specimen Collected,"The status (yes, no) of whether non-brain tissue from this organism is available.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
tissue type,33ccbc85-ae35-44d6-8bc6-c2fb91116cf7,tissue_type,Non-Brain Specimen Collected,The type of tissue (non-brain) that is available from this organism. ,FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
tissue type details,f551cf87-2c6e-4b92-888d-6310e6a500d8,tissue_type_details,Non-Brain Specimen Collected,The details of the non-brain tissue that is available from this organism. ,TRUE,,text,,,,,,,1,8-Jul-24
birth weight value (lbs),69d9a60d-32d5-4c3a-a26a-802d8f030c8d,birth_weight_lbs,Infant Medical History,The weight (at birth) of the subject/donor in pounds.,FALSE,,numeric,,,,,,,1,8-Jul-24
birth weight value (oz),b6f30050-f762-4427-8533-31738e737ea2,birth_weight_oz,Infant Medical History,The weight (at birth) of the subject/donor in ounces.,FALSE,,numeric,,,,,,,1,8-Jul-24
gestational age value (weeks),6d8a9b3f-792c-48c2-bd3c-56e52bb51672,gestational_age_value_weeks,Infant Medical History,The gestational age of the subject/donor in weeks.,FALSE,,numeric,,,,,,,1,8-Jul-24
gestational age value (days),4e532e52-6e4c-46cd-9fde-96f97ef3b034,gestational_age_value_days,Infant Medical History,The gestational age of the subject/donor in days.,FALSE,,numeric,,,,,,,1,8-Jul-24
species,d11fb2ce-bfdb-4735-9b17-b6ba606520b1,species,General Subject Fields,The species of a subject/donor/sample/specimen.,FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
social group,7759b09d-a685-49fe-b7d8-e7f2b4772f52,social_group,General Subject Fields,The social group to which the subject belongs.,FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
body weight,f2673501-b48f-4703-bb7e-d642b73c2ad4,body_weight,General Subject Fields,The weight of the whole organism/donor/subject.,FALSE,,numeric,,,,,,,1,8-Jul-24
premortem perfusion done,1fc487d8-2403-4d7c-952f-7e502d5f8359,perfusion,General Specimen Data,"The status of premortem perfusion (done, not done).",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
premortem perfusion buffer type,78d62e29-4323-4927-aec8-6fc8dc59a889,perfusate_type,General Specimen Data,The type of premortem perfusion buffer that was used for premortem perfusion. ,TRUE,,text,,,,,,,1,8-Jul-24
head off time,00ab5986-a8c4-4a7f-bf2b-6b5f08a97b25,head_off_time,General Specimen Data,The time at which the head was removed from the organism/donor/subject.,FALSE,,time,,,,,,,1,8-Jul-24
brain extraction time,06be5810-7b9c-452e-b7ca-13eeb15179ca,brain_extraction_time,General Specimen Data,The time at which the brain was extracted from the organism/donor/subject.,FALSE,,time,,,,,,,1,8-Jul-24
brain fixed time,2a09ecb4-0096-4a6c-b4f0-9b68cb231413,brain_fixed_time,General Specimen Data,The time at which the brain specimen was fixed.,TRUE,,time,,,,,,,1,8-Jul-24
brain frozen time,fb01ce0d-1417-404a-978d-aad708c0404f,brain_frozen_time,General Specimen Data,The time at which the brain specimen was frozen.,TRUE,,time,,,,,,,1,8-Jul-24
brain fixation method,8e0a01a9-ab7a-49a5-bf44-cc0af47719b1,brain_fixation_method,General Specimen Data,The method used for fixing the brain specimen.,TRUE,,exclusive_categorical,,,,,,,1,8-Jul-24
brain freeze method,71237def-9b50-481f-a01d-65dc99e3493f,brain_freeze_method,General Specimen Data,The method used for freezing the brain specimen. ,TRUE,,exclusive_categorical,,,,,,,1,8-Jul-24
sedation start time,0ad6cca0-d4ce-4cd8-bbce-520bc01db061,sedation_start_time,General Specimen Data,The time at which sedation of the organism/donor/subject began.,FALSE,,time,,,,,,,1,8-Jul-24
sedation total dose,3c895613-4526-4b87-8620-7b42eff94fee,sedation_total_dose,General Specimen Data,The total dose of sedation used on the organism/donor/subject.,FALSE,,numeric,,,,,,,1,8-Jul-24
euthanasia time,14c541ab-7db3-4438-9328-c5f3098f5ff7,euthanasia_time,General Specimen Data,The time at which euthanasia of the organism/donor/subject occurred.,FALSE,,time,,,,,,,1,8-Jul-24
euthanasia dose,d87c6869-c0d1-46b3-bb32-95dc3e3d5ed4,euthanasia_dose,General Specimen Data,The dose of compouds used to euthanize the organism/donor/subject.,FALSE,,numeric,,,,,,,1,8-Jul-24
perfusion time start,7f94f8ad-82b7-4827-9614-838555a1f046,perfusion_time_start,General Specimen Data,The time at which perfusion began.,FALSE,,time,,,,,,,1,8-Jul-24
perfusion time end,6c873444-8306-4b3f-9e5a-97f6d34c88b3,perfusion_time_end,General Specimen Data,The time at which perfusion ended.,FALSE,,time,,,,,,,1,8-Jul-24
trapping date,e2603f30-af26-4d24-b9e7-dcbd47e09914,trapping_date,,The date on which the subject/specimen was trapped.,FALSE,,date,,,,,,,1,8-Jul-24
trapping time,cc2ec53a-cd90-4bf5-9c49-c99ebb81498f,trapping_time,,The time at which the subject/specimen was trapped.,FALSE,,time,,,,,,,1,8-Jul-24
matriline,ae0447a3-0504-43a3-95d5-4248e53d3224,matriline,Family History,The relavant matriline and patriline information for a subject/donor/sample/specimen.,FALSE,,,,,,,,,1,8-Jul-24
behavioral scoring available,ea33881a-9813-4111-979b-135355e8141e,behavioral_scoring_available,Behavioral Measurements,"The status (available, unavailable) of the behavioral scoring results for a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
behavioral scoring type,0a7a1eeb-8682-4261-8221-82d587dde0fa,behavioral_scoring_type,Behavioral Measurements,The type of behavioral scoring that is available for a subject/donor/specimen.,TRUE,,exclusive_categorical,,,,,,,1,8-Jul-24
ordinal dominance rank,080685e2-756a-446e-8d9d-5585c9ddd998,ordinal_dominance_rank,Behavioral Measurements,,FALSE,,numeric,,,,,,,1,8-Jul-24
brain size anterior-posterior,0830564a-26ba-41eb-888a-33d0c39ead8f,brain_size_anterior_posterior,General Specimen Data,The size of the brain specimen in the anterior-posterior axis.,FALSE,,numeric,,,,,,,1,8-Jul-24
brain size medial-lateral,4722f739-71f6-4001-9784-afef8f9f2d0e,brain_size_medial_lateral,General Specimen Data,The size of the brain specimen in the medial-lateral axis.,FALSE,,numeric,,,,,,,1,8-Jul-24
brain size dorsal-ventral,e683f5ee-696f-4baf-a9bf-2f12226ceb4a,brain_size_dorsal_ventral,General Specimen Data,The size of the brain specimen in the dorsal-ventral axis.,FALSE,,numeric,,,,,,,1,8-Jul-24
brain size unit,4d0c44c6-e620-455d-989e-126c3c81ec91,brain_size_unit_type,General Specimen Data,The unit that the brain size measurements are recorded.,FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
histological stains available,4b868ba6-dba8-45e3-a43e-88e421625cab,histological_stains_available,General Specimen Data,"The status (available, unavailable) of histological stainings of a specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
histological stains type,6723e756-e4c1-42c7-bf2d-ee2e300b88ff,histological_stain_type,General Specimen Data,The type of histological stains available for a specimen.,TRUE,,exclusive_categorical,,,,,,,1,8-Jul-24
