BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
American Indian or Alaska Native,0445cf83-2e03-42b6-9e4f-4dd5eb90bf10,,PV000062,A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. ,NCIT:C41259
Asian,4f0bc5f3-ee8b-4c03-a9ec-b0ae9468de15,,PV000063,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. ",NCIT:C41260
Black or African American,3707849d-d072-4d63-b638-96287eed1ca2,,PV000064,"A person having origins in any of the Black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American"". ",NCIT:C16352
Native Hawaiian or Other Pacific Islander,72643b90-a818-4a9f-b41a-575ab5f69e23,,PV000065,"A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. ",NCIT:C41219
White,6b16b856-869c-4c13-a43a-18363ee62b71,,PV000066,"A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NCIT:C41261
More than one race,e42458bf-7b08-40a5-b13d-36f640018c10,multiracial,,Having ancestors of several or various races. ,NCIT:C67109
Other Race,fe20ff01-b1a1-4bbe-870c-077fc8b3878a,,,Individuals who do not necessarily identify with any particular race or others who do not wish to self select into a racial category(ies). ,NCIT:C104495
Prefer not to Answer,b4dab1eb-2f99-441e-a9e3-f05f5fb7ba24,,PV000068,A response indicating that an individual prefers or preferred not to answer. ,
Unknown,9032339c-044a-49c8-8032-24349084bf30,,PV000067,"Not known, observed, recorded; or reported as unknown by the data contributor. ",
