BICAN Label,BICAN UUID,Aliases,Code,Description,Ontology ID
middle ear bone,a572b85e-9e5a-4696-95d3-2f144a9e22cc,,39,"One of 3 small bones contained within the middle ear space and serve to transmit sounds from the air to the fluid-filled labyrinth. The absence of the auditory ossicles would constitute a moderate-to-severe hearing loss. The term 'ossicles' literally means 'tiny bones' and commonly refers to the auditory ossicles, though the term may refer to any small bone throughout the body. ",UBERON:0001686
nail,f23cdf42-905c-4a7e-8d69-a317a763d9cf,integumentary,40,A horn-like keratin structure covering the dorsal aspect of the terminal phalanges of fingers and toes.,UBERON:0001705
ovary,ad587d59-6730-46cf-8fb6-428b2981d14a,genital,41,The gonad of a female organism which contains germ cells.,UBERON:0000992
pancreas,2c928628-f6ed-4400-b4a2-efa01567d92f,gastrointestinal,42,An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating hormones.,UBERON:0001264
peripheral nerve,8034e007-b341-45ba-815c-c87a376019d0,spinal cord,43,"An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures.",UBERON:0001021
pineal,64bddad2-5ada-4599-809a-999948d0f836,endocrine,44,"A midline, cone like structure located in the dorso-caudal roof of the 3rd ventricle, attached by peduncles to the habenular and posterior commissures. The stalk contains nerve fibers, blood vessels, connective tissue and parenchymal cells (Paxinos, The Rat Central Nervous System, 2nd ed, pg 399).",UBERON:0001905
pituitary,1e430fdd-cf62-4e80-b6fc-9d175dc9da32,endocrine,45,The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands.,UBERON:0000007
placenta,37eddae1-72d1-4760-a784-38bae20da9dd,other,46,"Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin[GO]. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell. Marsupials possess only a rudimentary yolk-type placenta, with reduced nutrient and oxygen exchanging capabilities.",UBERON:0001987
plasma,02817533-4c06-4f7c-980d-59fd42e22581,body fluids,47,"The liquid component of blood, in which erythrocytes are suspended.",UBERON:0001969
prostate,0945a1c4-432a-4fad-9888-ff73bbf0d087,,48,"The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid.",UBERON:0002367
psoas muscle,ae5c4602-2fac-4e4d-8ec6-db6b521fe176,,49,"A powerful flexor of the thigh at the hip joint (psoas major) and a weak flexor of the trunk and lumbar spinal column (psoas minor). Psoas is derived from the Greek 'psoa', the plural meaning 'muscles of the loin'. It is a common site of infection manifesting as abscess (PSOAS ABSCESS). The psoas muscles and their fibers are also used frequently in experiments in muscle physiology.",UBERON:0008450
RBC,8beaa88c-c1e5-4a12-a135-1f4f280acfd6,body fluids,50,"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen.",CL:0000232
RNA,a059c7de-8c3e-4f47-85e2-10fea731eab3,other,51,"High molecular weight, linear polymers, composed of nucleotides containing ribose and linked by phosphodiester bonds; RNA is central to the synthesis of proteins.",CHEBI:33697
sacral spinal cord,e285896e-adf8-4491-b3b8-fdd136391ef7,,52,A spinal cord segment that adjacent_to a sacral region.,UBERON:0005843
serum,78e34126-1719-43a6-b192-5c1afdb5ad7a,body fluids,53,The portion of blood plasma that excludes clotting factors.,UBERON:0001977
skin,9e25d9ee-ac9d-4b23-924c-9ab1a406e529,integumentary,54,The organ covering the body that consists of the dermis and epidermis.,UBERON:0002097
spleen,2dd9e93a-a069-4c29-b9a8-b9f020e35fa5,hematopoietic,55,The organ that functions to filter blood and to store red corpuscles and platelets.,UBERON:0002106
stomach,9573ce93-148e-478b-96ff-f61c9939442e,gastrointestinal,56,"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.",UBERON:0000945
systemic tissue,09ec1910-2797-4595-9a0f-92a74ce97afa,,57,Tissue with cells that deposit non-polarized extracellular matrix including connective tissue fibers and ground substance.,UBERON:0002384
temporalis muscle,ccce41cd-6ad3-4552-aa70-9ebeba566fe8,,58,Pharyngeal arch 1 muscle that is innervated by the deep temporal branches of the trigeminal nerve and attaches to the wall of the braincase (including the cranial vault) and mandible.,UBERON:0001598
testicle,c9ed5cd5-e107-40a0-a135-ba837fe86fc3,genital,59,A typically paired male reproductive gland that produces sperm and that in most mammals is contained within the scrotum at sexual maturity.,UBERON:0000473
thoracic spinal cord,b1c7a684-c704-40bf-9312-c5ad88d5fd99,,60,The thoracic nerves are the spinal nerves emerging from the thoracic vertebrae.,UBERON:0003038
thymus,8ad399d8-672f-4a50-96ff-73bccbc19070,hematopoietic,61,Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop.,UBERON:0002370
thyroid,3fe81928-0ac1-49b2-beb2-a7350a371f29,endocrine,62,"A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin.",UBERON:0002046
tissue,7c1d9509-9dfa-493f-8cf2-3799a8672ee1,,63,"Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.",UBERON:0000479
tissue-other,a927db01-95f6-4153-aeac-7f211da31300,,64,,
tongue,c161c545-a0ac-4aa0-a273-7e94c581fc94,gastrointestinal,65,A fleshy movable process of the floor of the mouths of most vertebrates that bears sensory end organs and small glands and functions especially in taking and swallowing food and in humans as a speech organ.,UBERON:0001723
