BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
barcoded cell sample number of expected cells,f10e928d-5a2b-4943-af18-d8fe5d05528d,"Expected number of cells/nuclei of a barcoded_cell_sample that will be barcoded and available for sequencing. This is a derived number from 'Barcoded cell input quantity count' that is dependent on the ""capture rate"" of the barcoding method. It is usually a calculated fraction of the 'Barcoded cell input quantity count' going into the barcoding method.",barcoded_cell_sample_number_of_expected_cells,PD-ONONEV39,,Barcoded Cell Sample,expected cell capture,integer,,continuous variable,TRUE,0,,,analysis,Preparation,Barcoded Cell Sample Number of Expected Cells
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id for the project this Barcoded Cell Sample belongs to,project_identifier,PD-GXHIXI56,,Barcoded Cell Sample,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project This Barcoded Cell Sample is for
barcoded cell sample port well,aca38100-d245-4be4-9be3-ba27192779fe,Specific position of the loaded port of the 10x chip. An Enriched or Dissociated Cell Sample is loaded into a port on a chip (creating a Barcoded Cell Sample). Can be left null for non-10x methods.,barcoded_cell_sample_port_well,PD-KJKJZK32,10x chip port well,Barcoded Cell Sample,port well,text,,categorical variable,TRUE,,,,analysis,Preparation,Barcoded Cell Sample Port Well
barcoded cell input quantity count,aa534269-7c9b-4b63-b990-eea8cda56d0e,Number of enriched or dissociated cells/nuclei going into the barcoding process.,barcoded_cell_input_quantity_count,PD-ZZZZWQ40,,Barcoded Cell Sample,input quantity,integer,,continuous variable,TRUE,0,,,analysis,Preparation,Barcoded Cell Input Quantity Count
barcoded cell sample technique,b2366423-b883-4b33-b036-a1e4707c32bd,Required standardized nomenclature to describe the general method used to barcode individual cells. This method (eg Multiome; ATAConly; GEXonly) will be more general than the Library Method (which is specific for alignment) and could be used for general classification of Barcoded Cell Samples.,barcoded_cell_sample_technique,PD-TDTDDF25,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Preparation,Barcoded Cell Sample Technique
barcoded cell sample tag local name,8877f8f0-3939-4062-84c9-414bdcdd04ca,Barcoded Cell Sample tags can be used to group a set of barcoded cell samples so that the tag can be used to obtain all the members of the cohort,barcoded_cell_sample_tag_local_name,PD-FOFEUU27,,Barcoded Cell Sample,study set,text,,categorical variable,TRUE,,,,analysis; tracking,Identification,Barcoded Cell Sample Tag
barcoded cell sample project,b5f4485b-3700-460d-8455-016127783ccb,Barcoded Cell Sample Project,barcoded_cell_sample_project,PD-DZDZWQ40,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Barcoded Cell Sample Project
barcoded cell sample lab,f73165f0-8540-4ed0-91fd-ff2ce946ebcb,Barcoded Cell Sample Lab,barcoded_cell_sample_lab,PD-WNWNYW22,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Barcoded Cell Sample Lab
bcs alignment job ID,12ef6c0b-7db5-451f-8e84-a9fcd8086a2e,Barcoded Cell Sample Alignment QC Job ID,bcs_alignment_job_id,PD-LKCLRC24,,Barcoded Cell Sample,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Barcoded Cell Sample Alignment QC Job ID
barcoded cell sample alignment QC status,a0f07acd-df7c-4dce-9bdf-313ce84b4ead,Barcoded Cell Sample alignment QC status,barcoded_cell_sample_alignment_qc_status,PD-BQFOEV39,,Barcoded Cell Sample,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,BCS Alignment QC Status
amplified cdna NHash ID,01046de6-448d-4f50-a794-0a5ffb2bcf97,NIMP generated globally unique identifier for Amplified cDNA,amplified_cdna_nhash_id,PD-RAIFQQ23,,Amplified cDNA,,text,,categorical variable,FALSE,,,,,Identification,Amplified CDNA NHash ID
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id for the project this amplified cDNA belongs to,project_identifier,PD-GXWIXI56,,Amplified cDNA,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project This Amplified cDNA is for
amplified cDNA amplified quantity ng,0db79d05-8612-4896-b9d3-eb1558841449,Amount of cDNA produced after cDNA amplification measured in nanograms,amplified_cdna_amplified_quantity_ng,PD-TITIIC26,amplified quantity ng,Amplified cDNA,amplified quantity ng,float,,continuous variable,TRUE,0,,,analysis,Preparation,Amplified cDNA Amplified Quantity Ng
amplified cDNA PCR cycles,3827634c-3f8f-4760-b358-86ce4b030238,Number of PCR cycles used during cDNA amplification for this cDNA.,amplified_cdna_pcr_cycles,PD-OKOKQD38,cDNA amplification cycles,Amplified cDNA,PCR cycles,integer,,continuous variable,TRUE,0,,,analysis,Preparation,Amplified cDNA PCR Cycles
amplified cDNA RNA amplification pass-fail,bc62bdb2-7dc8-4404-bb84-ce0bbcae59e5,Pass or Fail result based on qualitative assessment of cDNA yield and size.,amplified_cdna_rna_amplification_pass_fail,PD-XXXXFQ31,cDNA amplification pass-fail result,Amplified cDNA,pass fail result,categorical,Yes,categorical variable,TRUE,,,,analysis,Preparation,Amplified cDNA RNA Amplification Pass-Fail
amplified cDNA percent cDNA longer than 400bp,8d150467-f69e-461c-b54c-bcfd22f581e5,QC metric to measure mRNA degradation of cDNA. Higher % is higher quality starting material. Over 400bp is used as a universal cutoff for intact (full length) vs degraded cDNA and is a common output from Bioanalyzer and Fragment Analyzer elecropheragrams.,amplified_cdna_percent_cdna_longer_than_400bp,PD-JJJJWD35,cDNA amplification percent cDNA greater than 400bp,Amplified cDNA,percent cDNA longer than 400bp,float,,continuous variable,TRUE,0,,,analysis,Preparation,Amplified cDNA Percent CDNA Longer Than 400bp
amplified cdna project,20f516dc-ed4f-494e-9959-d01f286171fc,Amplified cDNA Project,amplified_cdna_project,PD-GNGNEV39,,Amplified cDNA,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Amplified cDNA Project
amplified cdna lab,88b13d5b-3b06-4294-9b83-b4b615c6085e,Amplified cDNA Lab,amplified_cdna_lab,PD-ADADGX21,,Amplified cDNA,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Amplified cDNA Lab
library NHash ID,f9466382-60f1-45ab-a107-c247531ff3dd,NIMP generated globally unique identifier for a Library,library_nhash_id,PD-LAGVFB34,,Library,,text,,categorical variable,FALSE,,,,,Identification,Library NHash ID
library technique,7b60d59e-fdd7-4b27-a2d4-cae9b69103a6,Standardized nomenclature to describe the library method used. This specifies the alignment method required for the library. For example 10xV3.1 (for RNASeq single assay); 10xMult-GEX (for RNASeq multiome assay); 10xMult-ATAC (for ATACSeq multiome assay).,library_technique,PD-AJAJCN35,library method; library chemistry method,Library,method,categorical,Yes,categorical variable,FALSE,,,,analysis; tracking; alignment,Preparation,Library Technique
library r1/r2 index,c94b5d8a-e92d-47af-8c0e-ea3b58be4d06,Name of the pair of library indexes used for sequencing. Indexes allow libraries to be pooled together for sequencing. Sequencing output (fastq) are demultiplexed by using the indexes for each library. The name will be associated with the sequences of i7; i5; and i5as that are needed by SeqCores for demultiplexing. The required direction of the sequence (sense or antisense) of the index can differ depending on sequencing instruments.,library_r1_r2_index,PD-VLLMWZ60,R1/R2 index name,Library,r1 r2 index,categorical,Yes,categorical variable,TRUE,,,,analysis; tracking,Preparation,R1/R2 Index
library source type,5ce18f3d-0e4a-4843-aac6-2b8d3af51c87,The upstream resource type for library creation. Could be either Barcoded Cell Samples or Amplified cDNA,library_source_type,PD-RKRKCN35,,Library,,categorical,Yes,categorical variable,TRUE,,,,,Reference,Library Source Type
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id for the project this Library is associated with,project_identifier,PD-GXVSXI56,,Library,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project This Library is for
library avg size bp,f851eba9-56d1-4472-9d0c-d7f8bc33000a,Average size of the library in terms of base pairs. This is used to calculate the molarity before pooling and sequencing.,library_avg_size_bp,PD-VJVJLC46,,Library,avg size bp,integer,,continuous variable,TRUE,0,,,analysis,Metrics,Library Avg Size Bp
library concentration nm,90805b3f-f380-4f23-b159-e7eaa0c8f052,Concentration of library in terms of nM (nMol/L). Number of molecules is needed for accurate pooling of the libraries and for generating the number of target reads/cell in sequencing.,library_concentration_nm,PD-DCDCLD43,,Library,concentration nm,float,,continuous variable,TRUE,0,,,,Metrics,Library Concentration Nm
library input ng,e4d31d97-722d-4771-a0e4-e6062190f2c1,Amount of cDNA going into library construction in nanograms.,library_input_ng,PD-AFAFXP37,,Library,input quantity ng,float,,continuous variable,TRUE,0,,,analysis,Metrics,Library Input Ng
library prep pass-fail,6817ede2-7ead-402d-9dbc-131aca627c6c,Pass or Fail result based on qualitative assessment of library yield and size.,library_prep_pass_fail,PD-QHQHQB42,library prep pass-fail result,Library,pass fail result,categorical,Yes,categorical variable,TRUE,,,,analysis,Metrics,Library Prep Pass-Fail
library quantification fmol,4c09ada7-c116-48bc-8fb1-0dcf5c4b939a,Amount of library generated in terms of femtomoles,library_quantification_fmol,PD-JYJYDK42,,Library,quantity fmol,float,,continuous variable,TRUE,0,,,analysis,Metrics,Library Quantification FMOL
library quantification ng,318b2d3a-dae7-4c63-bfbb-93862b92f63e,Amount of library generated in terms of nanograms,library_quantification_ng,PD-TNTNXP37,,Library,quantity ng,float,,continuous variable,TRUE,0,,,,Metrics,Library Quantification NG
library project,eb67d39c-2e42-4123-9ac5-71cb08791de4,Library Project,library_project,PD-PMPMPG50,,Library,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Project
library lab,b328bb86-d5de-421e-8b33-fa07fdd30f68,Library Lab,library_lab,PD-HXHXRI32,,Library,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Lab
library aliquot local name,34191bad-d167-4335-8224-ade897d3728e,One library in the library pool. Each Library_aliquot_name in a library pool will have a unique R1/R2 index to allow for sequencing together then separating the sequencing output by originating library aliquot through the process of demultiplexing. The resulting demultiplexed fastq files will include the library_aliquot_name.,library_aliquot_local_name,PD-XCXCCC35,library aliquot label,Library Aliquot,name,text,,categorical variable,FALSE,,,,analysis; tracking; alignment,Identification,Library Aliquot Local Name
