BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
Library Aliquot Fraction of Transposition Events in Peaks in Cells,9b1cc0fd-0b69-4a0a-8504-da1643357921,"The fraction of transposition events within identified cells that occur within peaks, which are regions of accessible chromatin.",fraction_of_transposition_events_in_peaks_in_cells,PD-LKXHKR49,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction of Transposition Events in Peaks in Cells
Library Aliquot Fraction Duplicates,c9f33625-c0bc-49f8-980f-55feab50f40c,"The fraction of sequenced fragments that are duplicates, which can result from PCR amplification or other factors, indicating the redundancy in the sequencing data.",fraction_duplicates,PD-ZXZCKR49,,Library Aliquot,,float,,continuous variable,TRUE,0.55,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Duplicates
Library Aliquot Fraction Confidently Mapped,0c07bafe-4fc3-4ba7-abf8-dfce06ad2313,"The fraction of sequenced fragments that are confidently mapped to the reference genome, indicating the proportion of reads that align well to the genome.",fraction_confidently_mapped,PD-WVGUKV34,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Confidently Mapped
Library Aliquot Fraction Unmapped,e3a42ae8-11b1-4041-9345-e90c80ef503c,"	The fraction of sequenced fragments that could not be mapped to the reference genome, which can indicate sequencing errors, contamination, or regions not covered by the reference.",fraction_unmapped,PD-IKJZKV34,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Unmapped
Library Aliquot Fraction Nonnuclear,6ab4a331-016a-404f-a7ef-3040bd332d9a,"The fraction of sequenced fragments that are mapped to non-nuclear (e.g., mitochondrial or other organellar) DNA, providing insight into contamination or organellar activity.",fraction_nonnuclear,PD-QYMYYJ48,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Nonnuclear
Library Aliquot Fraction Fragment in Nucleosome Free Region,1cd94b96-9430-4235-b22d-a34375d4dfe8,"The fraction of sequenced fragments that map to nucleosome-free regions, which are indicative of accessible chromatin.",fraction_fragment_in_nucleosome_free_region,PD-GFXJEW44,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Fragment in Nucleosome Free Region
Library Aliquot Fraction Fragment Flanking Single Nucleosome,8e1d2a1a-ec08-4d24-ad63-3cb42bdb74fb,"The fraction of sequenced fragments that map to regions flanking single nucleosomes, indicating regions with partial chromatin accessibility.",fraction_fragment_flanking_single_nucleosome,PD-XBWTWD35,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction Fragment Flanking Single Nucleosome
Library Aliquot TSS Enrichment Score,c0479158-2816-4352-99f6-24ff78b76794,"A measure of the enrichment of transposition events at transcription start sites (TSS), indicating the accessibility of promoters across the genome.",tss_enrichment_score,PD-NCRKWD35,,Library Aliquot,,float,,continuous variable,TRUE,4,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Tss Enrichment Score
Library Aliquot Fraction of High-Quality Fragments Overlapping TSS,0da180b3-7f86-4d97-9132-37a5f3343b04,"The fraction of high-quality fragments that overlap transcription start sites (TSS), providing insight into promoter accessibility.",fraction_of_high-quality_fragments_overlapping_tss,PD-FLOIKR49,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction of High-Quality Fragments Overlapping Tss
Library Aliquot Number of Peaks,d6bbc1bf-3e72-4019-b8b6-1ceaa5b0337f,"The total number of peaks, or regions of accessible chromatin, identified in the dataset, representing potential regulatory elements.",number_of_peaks,PD-XHBOKR49,,Library Aliquot,,float,,continuous variable,TRUE,100000,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Number of Peaks
Library Aliquot Fraction of Genome in Peaks,bb0f84f8-7b50-4808-abc8-7c3ad0c874dc,"The fraction of the genome that is covered by identified peaks, indicating the extent of chromatin accessibility across the genome.",fraction_of_genome_in_peaks,PD-ZQNRKR49,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction of Genome in Peaks
Library Aliquot Fraction of High-Quality Fragments Overlapping Peaks,c1bc76db-f966-4e65-98aa-e90cd50cc106,"The fraction of high-quality fragments that overlap with identified peaks, providing an indication of the efficiency of the assay in capturing accessible regions.",fraction_of_high-quality_fragments_overlapping_peaks,PD-ZQOIKR49,,Library Aliquot,,float,,continuous variable,TRUE,0.3,1.5,,,Aliquot QC - ATAC,Library Aliquot ATAC QC Fraction of High-Quality Fragments Overlapping Peaks
Library Aliquot ATAC Percent Target,6870edcf-a91b-4083-b87d-f9eddf13919d,Percent of cells recovered; value is calculated as number_of_cells / barcoded_cell_sample_number_of_expected_cells,atac_percent_target,PD-RYRYSK50,,Library Aliquot,,float,,continuous variable,TRUE,,,,,Aliquot QC - ATAC,Library Aliquot ATAC QC ATAC Percent Target
