BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
right hemisphere preparation,477c2600-f979-43c5-9c61-ab61fd771584,right_hemisphere_preparation,The type of preparation method used for the right hemisphere.,x,x,x,x,,x,x,
right hemisphere preparation specify,efd50be4-f7cf-4146-a08e-28f25680728c,right_hemisphere_preparation_specify,Specific details about the type of preparation method used for the right hemisphere.,x,x,x,x,,x,x,
right hemisphere tissue inventory,8b6b910f-beb7-4e2b-881a-7f862ef5d588,right_hemisphere_tissue_inventory,The inventory (list) of the tissue samples for a specific right hemisphere specimen.,x,,x,,,,,
right hemisphere tissue sampling history,60d2efe0-bf7f-48f7-96fc-71cdf03226dd,right_hemisphere_tissue_sampling_history,The history of the tissue sampling for a specific right hemisphere specimen.,x,,x,,,,,
RIN,cd472c0d-0b64-45c9-a38e-e54d15cea953,rin,The RNA integrity number value of a specimen.,x,x,x,x,,x,x,
RINe,1210148d-d8fb-45aa-b51a-4b19b6d09bec,rine,A type of RIN (RNA integrity number) value that represents the relative ratio of the signal in the fast zone to the 18S peak signal fpr a specimen.,x,x,x,x,,x,x,
pH,9e67af02-c081-43e1-a42c-bf9603cae616,ph,"The value of a measurement of acidity or basicity of a tissue, sample, or specimen.",x,x,x,x,,x,x,
brain weight measurement,546fc32d-f8a2-4c00-924a-8c4730f11f51,brain_weight,The weight of a brain specimen.,x,x,x,x,,x,x,
brain tissue weighed type,a7463e3f-0c61-4718-a7d0-60fd2116908a,weighed_type,"The state of a brain specimen when it is weighed (fresh, frozen, fixed).",x,x,x,x,,x,x,
photo 2d available,611beda8-1ac6-4183-a284-04a30bb474f3,photo_2d_available,"The status (available, unavailable) of two-dimensional photos of a subject/donor/specimen.",x,x,x,x,,x,x,
scan 3d available,658e8a80-e232-438f-8c1e-d5f38724dc55,scan_3d_available,"The status (available, unavailable) of three-dimensional scans of a subject/donor/specimen.",x,,,x,,x,,
antemortem MRI available,43a04caa-4f28-47ac-8a9d-74c40f10776f,antemortem_mri_available,"The status (available, unavailable) of antemortem MRI images of a subject/donor/specimen.",x,,,x,,x,x,
postmortem MRI available,0badd072-0c25-48c6-9357-44d5b5bc0818,postmortem_mri_available,"The status (available, unavailable) of postmortem MRI images of a subject/donor/specimen.",x,,,x,,x,x,
postmortem MRI type,64a607a9-21e6-4c73-8f2e-2d67b0dc51c8,postmortem_mri_type,"The type of postmortem MRI that is available (cadeveric, fresh ex vivo, fixed ex vivo).",x,,,x,,x,x,
anatomical atlas registration,b6835813-2bab-42f3-ae63-4c372ed0aad9,anatomical_atlas_registration,The anatomical atlas structure to which a specimen/tissue is registered.,x,,,x,,,,
gestational age value (weeks),6d8a9b3f-792c-48c2-bd3c-56e52bb51672,gestational_age_value_weeks,The gestational age of the subject/donor in weeks.,x,x,,x,,x,,
gestational age value (days),4e532e52-6e4c-46cd-9fde-96f97ef3b034,gestational_age_value_days,The gestational age of the subject/donor in days.,x,x,,x,,x,,
gestational age value (months),c110d0c9-8acd-4889-b62d-3efe9b07657a,gestational_age_months,The gestational age of the subject/donor in months.,x,,,,,,,
year of death,60445046-d9d8-4f00-959e-9a4c42613e5e,year_of_death,The year wherein the subject or donor has ceased to exist.,,x,,x,,x,x,
RIN tissue source,d547ee51-9ec3-489c-8e49-7d8cd94080a8,rin_tissue_source,The tissue sample location or identifier that is used for calculating the RNA integrity number.,,x,x,x,,x,x,
RIN testing organization,cfed831e-9a62-4a32-bf92-532873420eb3,rin_testing_organization,The organization that determines the RNA integrity number of a sample/specimen.,,x,x,x,,x,x,
RINe tissue source,7d5fd9af-82a1-4bdb-a3c6-9225d1717c53,rine_tissue_source,The tissue sample location or identifier that is used for calculating the RINe number.,,x,x,x,,x,x,
RINe testing organization,15a6d162-a3ca-4852-b626-a911c37c04c9,rine_testing_organization,The organization that determines the RINe number.,,x,x,x,,x,x,
non-brain tissue available,3a064c96-a956-4cf3-8b77-056b8e392f99,non_brain_tissue_available,"The status (yes, no) of whether non-brain tissue from this organism is available.",,x,,x,,x,x,
tissue type,33ccbc85-ae35-44d6-8bc6-c2fb91116cf7,tissue_type,The type of tissue (non-brain) that is available from this organism. ,,x,,x,,x,x,
tissue type details,f551cf87-2c6e-4b92-888d-6310e6a500d8,tissue_type_details,The details of the non-brain tissue that is available from this organism. ,,x,,x,,x,x,
birth weight value (lbs),69d9a60d-32d5-4c3a-a26a-802d8f030c8d,birth_weight_lbs,The weight (at birth) of the subject/donor in pounds.,,x,,x,,x,,
