BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
enriched cell sample container name,5ace37aa-85d6-4493-909e-8fc221ec2609,,Name of container (strip or tube or plate) of the enriched_cell_prep.  This container could contain 1 or more enriched_cell_samples.,,,,,x,,,
enriched cell sample name,bb3fc701-23a7-45c1-890d-7471730e0ec1,,Name of collection of enriched cells or nuclei after enrichment process (usually via FACS using the Enrichment Plan) applied to dissociated_cell_sample.,,,,,x,,,
enrichment population,875f1c70-f5aa-45e3-94b9-5e482f6c4830,,Actual percentage of cells as a result of using set of fluorescent marker label(s) to enrich dissociated_cell_sample with desired mix of cell populations.  This plan can also be used to describe 'No FACS' where no enrichment was performed.  This is a property of enriched_cell_prep_container. ,,,,,x,,,
enriched cell source barcode name,bdd5e2bf-c6fa-43e6-a5ac-6878fcf814d6,,Name of molecular barcode used to individual Enriched Cell Source to allow for pooling of Enriched Cell Sources before 10x load (Barcoding Cell step) [aka 1st round barcodes],,,,,x,,,
enriched cell sample preparation date,e2fd2d84-3999-4cc4-8f41-e0e2a708f407,,Date of enriched cell sample creation.,,,,,x,,,
histone modification marker,a2ef2228-e438-4260-95e5-22eb3b35b5a9,,"Histone modification marker antibodies (eg H3K27ac, H3K27me3, H3K9me3) used in conjunction with an Enriched Cell Source Barcode in order to combine multiple Enriched Cell Populations before Barcoded Cell Sample step for 10xMultiome method.Ê Each of the Histone antibodies captures an essential part of the epigenome.",,,,,x,,,
library avg size bp,f851eba9-56d1-4472-9d0c-d7f8bc33000a,,Average size of the library in terms of base pairs.  This is used to calculate the molarity before pooling and sequencing.,,,,,x,,,
library method,7b60d59e-fdd7-4b27-a2d4-cae9b69103a6,library chemistry method,"Standardized nomenclature to describe the library method used.  This specifies the alignment method required for the library.  For example, 10xV3.1 (for RNASeq single assay), 10xMult-GEX (for RNASeq multiome assay), and 10xMult-ATAC (for ATACSeq multiome assay)",,,,,x,,,
library concentration nm,90805b3f-f380-4f23-b159-e7eaa0c8f052,,Concentration of library in terms of nM (nMol/L).  Number of molecules is needed for accurate pooling of the libraries and for generating the number of target reads/cell in sequencing.,,,,,x,,,
library creation date,9c2f575d-1b64-451d-894f-656861afe07a,library construction date,Date of library construction,,,,,x,,,
library input ng,e4d31d97-722d-4771-a0e4-e6062190f2c1,,Amount of cDNA going into library construction in nanograms.,,,,,x,,,
library label,f717e254-3630-4342-be7b-4d56376e7afe,library name,"Name of a library, which is a collection of fragmented and barcode-indexed DNA molecules for sequencing.  An index or barcode is typically introduced to enable identification of library origin to allow libraries to be pooled together for sequencing.",,,,,x,,,
library prep pass-fail,6817ede2-7ead-402d-9dbc-131aca627c6c,library prep pass-fail result,Pass or Fail result based on qualitative assessment of library yield and size.,,,,,x,,,
library prep set,b124ffa9-9134-4a61-a30d-bb191b2fc7fa,,"Library set, containing multiple library_names that were processed at the same time.",,,,,x,,,
library quantification fmol,4c09ada7-c116-48bc-8fb1-0dcf5c4b939a,,Amount of library generated in terms of femtomoles,,,,,x,,,
library quantification ng,318b2d3a-dae7-4c63-bfbb-93862b92f63e,,Amount of library generated in terms of nanograms.,,,,,x,,,
R1/R2 index name,c94b5d8a-e92d-47af-8c0e-ea3b58be4d06,,"Name of the pair of library indexes used for sequencing.  Indexes allow libraries to be pooled together for sequencing.  Sequencing output (fastq) are demultiplexed by using the indexes for each library.  The name will be associated with the sequences of i7, i5, and i5as, which are needed by SeqCores for demultiplexing.  The required direction of the sequence (sense or antisense) of the index can differ depending on sequencing instruments.",,,,,x,,,
library aliquot label,34191bad-d167-4335-8224-ade897d3728e,library aliquot name,One library in the library pool.  Each Library_aliquot_name in a library pool will have a unique R1/R2 index to allow for sequencing together then separating the sequencing output by originating library aliquot through the process of demultiplexing.  The resulting demultiplexed fastq files will include the library_aliquot_name.,,,,,x,,,
fastq file alignment status,834a0e66-fd81-4d9c-b379-146372c3a629,library aliquot QC result,The QC status of the fastq file alignment process result.,,,,,x,,,
library pool tube internal label,f1fdea98-7849-4def-a62f-a04cbbf98922,libray pool tube local name,"Library Pool Tube local name.  Label of the tube containing the library pool, which is made up of multiple library_aliquots.  This is a Library Lab local tube name, before the pool is aliquoted to the Seq Core provided tube 'Library Pool Tube Name'.",,,,,x,,,
embargo date,e7bc38d8-7315-40be-b8b7-923bf770ff38,,date until which data much be embargoed,,,,,x,,,
SeqCore library pool tube barcode,da02a0ee-9abf-45ef-abb1-981f1aaba6b2,,Library Pool tube name as provided by the SeqCore (often a barcode).  This tube is provided from the SeqCore and is part of the SeqCore tracking system.,,,,,x,,,
library pool label,29e0578b-6427-4c93-b29b-bde27fbadeec,local pool name,"Library lab's library pool name.  For some labs this may be the same as ""Libray pool tube local name"".   Other labs distinguish between the local tube label of the library pool and the library pool name provided to SeqCore for tracking.  Local Pool Name is used to communicate sequencing status between SeqCore and Library Labs.",,,,,x,,,
library pool tube avg size bp,cf1b7c96-cdc1-4eed-8e76-ac44fbd151f7,library pool avg size bp,"Average insert size of library pool, measured in base pairs.",,,,,x,,,
library pool fmol,af1a6f3f-aca9-4452-b86e-f3c70c3600b6,,Amount of library pool in the tube as measured in femtamoles (fmol),,,,,x,,,
loading concentration pM,a1a1b046-549d-4e94-9b3c-5fac2a31fdd6,,Sequencer Loading Concentration as measured in pM (pmol/L).  This is a value used by the SeqCore.,,,,,x,,,
length of Read 2 (for Paired End Runs) ,0b9a9cbc-b8dd-42a2-a567-aafd9370db30,,"Separate field to replace the combined field ""Sequencing cycle"". Sequencing Cycle is needed for sequencing the library pool.  The sequencing cycle needed is specific to the Library Chemistry Method and is required instruction to the SeqCores.",,,,,x,,,
length of Index 1 (i7 Primer) ,0b94df0d-d96e-4d49-a498-b3eb83afc5f8,,"Separate field to replace the combined field ""Sequencing cycle"". Sequencing Cycle is needed for sequencing the library pool.  The sequencing cycle needed is specific to the Library Chemistry Method and is required instruction to the SeqCores.",,,,,x,,,
length of Index 2 (i5 Primer) ,a61c1d55-b880-499c-ba4a-30311fdca62f,,"Separate field to replace the combined field ""Sequencing cycle"". Sequencing Cycle is needed for sequencing the library pool.  The sequencing cycle needed is specific to the Library Chemistry Method and is required instruction to the SeqCores.",,,,,x,,,
length of Read 1,f22ac08a-bb81-4524-91f0-0e1e1a032335,,"Separate field to replace the combined field ""Sequencing cycle"". Sequencing Cycleis  needed for sequencing the library pool.  The sequencing cycle needed is specific to the Library Chemistry Method and is required instruction to the SeqCores.",,,,,x,,,
library pool tube contents nM,32f2d02b-7300-4554-aa93-6de6e456eda7,library pool concentration (nM),Library pool concentration as measured in nanomolarity (nMol/L),,,,,x,,,
library pool tube volume ul,b1b923ac-c218-4db4-a3b1-45a219612567,,Library pool volume as measured in ul,,,,,x,,,
PhiX spike in percent,b5ab26ad-d523-406e-a85b-e77f2f4b06b5,,"PhiX spike-in percent desired to be added to the library pool for sequencing.  PhiX is used to increase complexity of the sample being sequenced, to reduce sequencing artifacts maintain sequencing quality on the instruments.  This is an optional instruction to the SeqCore.",,,,,x,,,
custom primers,76c905d5-ef4a-421a-bd59-b541c5c1d45d,,"Custom sequencing primers if needed, indicate with reads require them (R1/R2/i7/i5)",,,,,x,,,
library pool construction date,ef950ca1-2a62-4fce-a826-6c27d94d3be3,,Date of library pool construction.,,,,,x,,,
flowcell,4c8d7ac8-d3e3-4177-a93d-18ec2302c392,,,,,,,x,,,
alignment_output_label,1ca34909-2923-4219-848e-c7c250ec92cd,,A string that serves as a label (name) for an alignment output.,,,,,,,,x
alignment_output_created_by_process_id,66caedfa-add6-4e8a-bb45-03cc9d90c149,,An identifier of the process that created an alignment output.,,,,,,,,x
alignment_output_path,6015464d-6820-4baf-bc7a-a601c0507085,,A path to the alignment output for a specific alignment process.,,,,,,,,x
alignment_output_barcoded_cell_sample_label,754281ea-94c6-47d8-aab4-7443b6132004,,A label of the barcoded cell sample associated with an alignment output.,,,,,,,,x
alignment_output_entity_label,0d27affc-bb94-405e-81df-ffdbbc735e5d,,A label of the primary output entity (alignment output) of an alignment process.,,,,,,,,x
alignment_process_id,ae61d258-5f16-42a2-90cc-1279d87384a6,,An identifier used to refer to an alignment process.,,,,,,,,x
alignment_input_entity_label,ec7344d5-e6f9-46ed-8f0c-d6d0591b3656,,A label of the primary input entity (library_aliquot) of an alignment process.,,,,,,,,x
alignment_input_process_id,671b4be4-a12b-4d34-856d-300fa28a3c69,,An identifier of the alignment input process.,,,,,,,,x
alignment_input_library_pool_sequencing_process_id,d8fa34ad-ab7c-418b-b0ce-a48ced53dff6,,An identifier of the library pool sequencing process for alignment input. ,,,,,,,,x
alignment_input_barcoded_cell_sample_id,2f2b32db-0a86-499a-b4e4-08fbef3eab96,,A label of the barcoded cell sample associated with the input library aliquot.,,,,,,,,x
library_pool_sequencing_output_created_by_process_id,61d2cdf1-3ea0-4695-a8b0-debe6bc79fd0,,An identifier of the process that created a library pool sequencing output. ,,,,,,,,x
library_pool_sequencing_output_fastq_file_path,54dfb80a-c86b-4c85-a05e-37a8eb136c41,,A path to a the fastq file for a specific library aliquot.,,,,,,,,x
library_pool_sequencing_output_fastq_file_type,69381fb6-39a2-41d9-b69a-743398016e15,,"A Fastq file type that is an output from a library pool sequencing process. For example, R1, R2, R3, I1 and I2.",,,,,,,,x
library_pool_sequencing_output_library_aliquot_label,7325a944-f9d6-4314-8e96-323496242736,,An identifer of a library aliquot associated with a fastq file.,,,,,,,,x
library_pool_sequencing_input_entity_label,a6ee19dc-8e46-4993-9da9-81aeb0f63462,,A label of the primary input of a library pool sequencing process.,,,,,,,,x
library_pool_sequencing_process_id,f5f0d55e-006e-4b0e-a502-f4a7f5673e8c,,An identifier of a library pool sequencing process.,,,,,,,,x
library_pool_sequencing_vendor_read_count,c3f96263-7f6b-4031-b715-f17ee1ccaf7a,,The number of pass filter reads assigned to an indexed library aliquot.,,,,,,,,x
library_pool_label,29e0578b-6427-4c93-b29b-bde27fbadeec,,A string that can be used to refer to a specific entity.,,,,,,,,x
library_pool_created_by_process_id,871fe632-54f2-433c-8734-6045d5f9203f,,An identifier for a process that created a library pool.,,,,,,,,x
library_pool_tube_avg_size_bp,cf1b7c96-cdc1-4eed-8e76-ac44fbd151f7,,The average size of the pooled libraries given in terms of base pairs.,,,,,,,,x
library_pool_tube_contents_nm,32f2d02b-7300-4554-aa93-6de6e456eda7,,The concentration of the library pool in terms of nM (nMol/L).,,,,,,,,x
library_pool_tube_internal_label,f1fdea98-7849-4def-a62f-a04cbbf98922,,An internal label for a library pool tube container.,,,,,,,,x
library_pool_construction_output_entity_label,0129624c-3cec-46e6-aa8c-49df75937c56,,A label of a primary output entity (library pool ) of a library pool construction process.,,,,,,,,x
library_pool_construction_process_id,b26ed5a7-ad3e-4457-9fdd-cf9895980a34,,An identifier for a library pool construction process.,,,,,,,,x
library_pool_construction_input_entity_label,296c8571-b1b2-4f06-a0f2-60bbdd050797,,A label of an input entity (library aliquot) of a library pool construction process.,,,,,,,,x
library_pool_construction_input_process_id,d25187b3-bc2d-4f99-953f-10cae0b56122,,An identifier for a library pool construction process input.,,,,,,,,x
library_aliquot_label,34191bad-d167-4335-8224-ade897d3728e,,A label of a library aliquot.,,,,,,,,x
library_aliquot_created_by_process_id,f7471219-1424-4bcc-ae5d-fbc50b2639dd,,An identifier for a process that created a library aliquot.,,,,,,,,x
library_aliquot_input_quantity_fmol,21fa7764-92d5-400c-b73e-5a8caece5a16,,"The number of library molecules in an aliquoted portion of a library, as expressed in femtomoles.",,,,,,,,x
library_aliquot_library_label,2d073310-911c-4e09-856a-a2ce6c015827,,A label of the library which a library aliquot is portioned from.,,,,,,,,x
library_aliquoting_input_entity_label,a5accf6d-98b8-4d0d-af3f-dd967e1ce077,,A label of the primary input of a library aliquoting process.,,,,,,,,x
library_aliquoting_output_entity_label,6163e49b-a523-4adc-a45e-c93fbc6911dd,,A label of the primary output of a library aliquoting process.,,,,,,,,x
library_aliquoting_process_id,e42425e2-8ceb-4c0a-93f4-6dffbfc57df3,,An identifier for a library aliquoting process.,,,,,,,,x
library_label,f717e254-3630-4342-be7b-4d56376e7afe,,A label that refers to a specific library.,,,,,,,,x
library_created_by_process_id,8255bc41-528a-4559-83f2-c93528c4092e,,An identifier for a process that creates a library.,,,,,,,,x
library_ag_size_bp,f851eba9-56d1-4472-9d0c-d7f8bc33000a,,The average size of a library in terms of base pairs.  This is used to calculate the molarity before pooling and sequencing.,,,,,,,,x
library_index_sequence_pair,2ddf4e4f-076b-40af-b5d2-e3a2ffe33665,,<removed>,,,,,,,,x
library_r1_sequence,ccb0553d-4146-45ee-b731-77563cb805cd,,A sequence of i7 index required by sequencing instrument for demultiplexing (could be sense or antisense).,,,,,,,,x
library_r2_sequence,0ee7f272-01d9-453d-94a3-eefd1a86718e,,A sequence of i5 index required by sequencing instrument for demultiplexing (could be sense or antisense).,,,,,,,,x
library_creation_date,9c2f575d-1b64-451d-894f-656861afe07a,,The date of a library creation.,,,,,,,,x
library_input_ng,3db770eb-078e-4b41-92b9-e2e551660753,,The amount of cDNA going into library construction in nanograms.,,,,,,,,x
library_prep_pass_fail,6817ede2-7ead-402d-9dbc-131aca627c6c,,A result (pass or fail) of a test for library preparation based on library yield and size.,,,,,,,,x
library_method,7b60d59e-fdd7-4b27-a2d4-cae9b69103a6,,"A technique or method that is used to generate a library (specific to the alignment method required for the library).  For example, 10xV3.1 (for RNASeq single assay), 10xMult-RSeq (for RNASeq multiome assay), and 10xMult-ATAC (for ATACSeq multiome assay)",,,,,,,,x
library_quantification_ng,318b2d3a-dae7-4c63-bfbb-93862b92f63e,,The amount of library generated in nanograms.,,,,,,,,x
library_quantification_nm,c4771566-82bf-4a0a-8a57-3d1b687e3851,,The concentration of library in terms of nM (nMol/L).  The number of molecules is needed for accurate pooling of the libraries and for generating the number of target reads/cell in sequencing.,,,,,,,,x
library_quantification_fmol,4c09ada7-c116-48bc-8fb1-0dcf5c4b939a,,The amount of library generated in femtomoles,,,,,,,,x
library_r1_index,be6b81ef-c02d-4aaf-bd8d-5891ad919a9e,,The library index used for Read-1 sequence.  Indexes allow libraries to be pooled together for sequencing.  Sequencing output (fastq) are demultiplexed by using the indexes for each library.  The name will be associated with a oligo (string of bases).  The required direction of the sequence (sense or antisense) of the index can differ depending on sequencing instruments.,,,,,,,,x
library_r2_index,f82e3576-36fb-4399-8485-70cbf4911e8f,,The library index used for Read-2 sequence.  Indexes allow libraries to be pooled together for sequencing.  Sequencing output (fastq) are demultiplexed by using the indexes for each library.  The name will be associated with a oligo (string of bases).  The required direction of the sequence (sense or antisense) of the index can differ depending on sequencing instruments.,,,,,,,,x
library_construction_input_entity_label,e2d7623d-7313-4d6c-b58d-0795f91a1f45,,A label of the primary input of a library construction process.,,,,,,,,x
library_construction_output_entity_label,af4dbe52-7ae5-493e-b044-05abbb9fa981,,A label of the primary output of a library construction process.,,,,,,,,x
library_construction_process_date,b4ae9709-3fc4-45e0-a477-80099f102410,,The date when a library construction process occurred.,,,,,,,,x
library_construction_process_id,d7393dd2-2406-4984-badb-5b85547f4640,,An identifier for a library construction process.,,,,,,,,x
amplified_cdna_label,e2606a11-114e-472f-9e05-33f9b6fc3089,,A label that refers to a portion of amplified cdna.,,,,,,,,x
amplified_cdna_created_by_process_id,d695c983-07ff-450f-bbff-53a8638cd6d8,,An identifier of a process that created a portion of amplified cdna.,,,,,,,,x
amplified_cdna_amplified_quantity_ng,0db79d05-8612-4896-b9d3-eb1558841449,,The amount of cDNA produced from an amplification process in nanograms.,,,,,,,,x
amplified_cdna_method,995369ca-3e05-4f7b-80a8-92427b90e8fa,,"A method used to generate cDNA (eg 10xV3.1, 10xMultiome-Rseq).",,,,,,,,x
amplified_cdna_pcr_cycles,3827634c-3f8f-4760-b358-86ce4b030238,,The number of PCR cycles used during cDNA amplification for a cDNA.,,,,,,,,x
amplified_cdna_percent_cdna_longer_than_400bp,8d150467-f69e-461c-b54c-bcfd22f581e5,,A QC metric that describes quantifies mRNA degradation of cDNA. Higher % is higher quality starting material.,,,,,,,,x
amplified_cdna_rna_amplification_pass_fail,bc62bdb2-7dc8-4404-bb84-ce0bbcae59e5,,A result (pass or fail) based on cDNA yield and size.,,,,,,,,x
cdna_amplification_input_entity_label,3e8c5ad4-6a15-478e-ad1c-e68a06b61181,,A label of the primary input of a cDNA amplification process.,,,,,,,,x
cdna_amplification_input_entity_label,ee5b7407-284a-44d1-813c-746fc934a398,,A label of the primary input of a CDNA amplification process. ,,,,,,,,x
cdna_amplification_process_date,6cc333e7-9b98-497f-b7b1-eae904db2400,,The date when a cDNA amplification process occurred.,,,,,,,,x
cdna_amplification_process_id,a4d2b272-64e2-4adb-8886-38ee822488c9,,An identifier a cDNA amplification process.,,,,,,,,x
barcoded_cell_sample_label,4c0e6380-e53f-4173-a474-d41e836fefe3,,A label that refers to a barcoded cell sample.,,,,,,,,x
barcoded_cell_sample_created_by_process_id,1c78b561-d595-4f73-adb0-0de6a2c743e9,,An identifier of a process that created a barcoded cell sample. ,,,,,,,,x
barcoded_cell_sample_port_well,aca38100-d245-4be4-9be3-ba27192779fe,,A position of a load port of a 10x chip.,,,,,,,,x
barcoded_cell_sample_quantity_count,dd6abb3c-b671-48eb-a924-13945484de71,,The number of barcoded cells expected after barcoding (usually a calculated fraction of the number of cells going into cell_barcoding).,,,,,,,,x
barcoded_cell_sample_quantity_pg,b3d8753b-f242-4544-b6e2-03a94c0b1ee7,,<removed>,,,,,,,,x
cell_barcoding_input_entity_label,b5d251bd-0944-4c48-9508-74492185376e,,A label of a primary input of a cell barcoding process.,,,,,,,,x
cell_barcoding_output_entity_label,12bc4988-4c21-4eac-93f5-e7c2b17a2b32,,A label of a primary output of a cell barcoding process.,,,,,,,,x
cell_barcoding_process_id,a352af1b-1f33-4c8b-865f-7a6865ae5748,,An identifier for a cell barcoding process.,,,,,,,,x
dissociated_cell_sample_label,65e2c7da-9eb4-45b2-8ccb-d69ef9785ee2,,A label that refers to a dissociated cell sample.,,,,,,,,x
dissociated_cell_sample_created_by_process_id,a155d7f4-0126-430c-a7fb-20b8dd35134d,,An identifier of a process that created a dissociated cell sample. ,,,,,,,,x
dissociated_cell_sample_cell_prep_type,baae4ac3-f959-4594-b943-3a82ec19bd34,,"A type of cell preparation; for example, cells, or nuclei. ",,,,,,,,x
dissociated_cell_sample_facs_population_plan,a6f16756-4e52-4c37-b9dc-4ee5714f79b5,,A fluorescent marker label used to enrich cell dissociation for desired cell types. ,,,,,,,,x
dissociated_cell_sample_number_of_cells_collected,e2922a9e-e549-448a-8983-7e7f4f2338a9,,The total number of dissociated cells or nuclei going into a cell barcoding process.,,,,,,,,x
cell_dissociation_input_entity_label,5ed1a311-e060-4d00-9f24-9615503f9b7b,,A label of a primary input of a cell dissociation process.,,,,,,,,x
cell_dissociation_output_entity_label,cd94154e-8062-4156-a503-53bf09e32ba4,,A label of a primary output of a cell dissociation process.,,,,,,,,x
cell_dissociation_process_id,7151ff55-0b40-4caf-b008-818a79e6e9f6,,An identifier of a cell dissociation process.,,,,,,,,x
tissue_sample_label,2e4ca2fc-2d77-4d19-af45-d0fb7bbc2269,,A label that refers to a tissue sample.,,,,,,,,x
tissue_sample_created_by_process_id,4bb1e57a-3038-4e44-86cf-238eb1874c50,,An identifier of a process that created a tissue sample.,,,,,,,,x
tissue_sample_roi_plan,e7dda557-bda0-4392-ac7f-2651688549b3,,,,,,,,,,x
tissue_dissectioning_input_entity_label,98ad4077-9cb2-4e03-bad7-6358796aa78c,,A label of a primary input of a tissue dissectioning process.,,,,,,,,x
tissue_dissectioning_output_entity_label,d294e15a-6823-4ecd-aafe-5ce98c2adadf,,A label of a primary output of a tissue dissectioning process.,,,,,,,,x
tissue_dissectioning_process_id,fc5ddba7-d297-410c-942d-e46ecf657dcb,,An identifier of a tissue dissectioning process.,,,,,,,,x
tissue_dissectioning_input_entity_label,d906ee29-f041-4642-8ba2-c1a54af213ea,,A label of a primary input entity of a tissue dissectioning process.,,,,,,,,x
tissue_dissectioning_input_process_id,9cfb3a49-ac05-4ce5-8ed9-c9d82d6ff761,,An identifier of an associated tissue dissectioning process.,,,,,,,,x
brain_section_label,e3bd9517-80e1-4158-981d-bb73baabceca,,A label that refers to a brain section.,,,,,,,,x
brain_section_created_by_process_id,a6e62b20-8c2d-4e40-a03b-41d943ec11cb,,An identifier of a process that created a brain section.,,,,,,,,x
brain_section_ordinal,d97be176-d39e-413c-8c1f-14e47f23da66,,A sequential number of a section used to track the relative positional order of sections from a segment.,,,,,,,,x
brain_segment_sectioning_input_entity_label,e41e854d-b68a-4c69-b23f-d1d39891dff0,,A label of a primary input of a brain segment sectioning process.,,,,,,,,x
brain_segment_sectioning_process_id,3d426c44-47b2-4329-a06a-addd323bbf46,,An identifier of a brain segment sectioning process.,,,,,,,,x
brain_segment_label,befeefc1-4be3-4974-a54e-929fd83cbf28,,A label that refers to a brain segment.,,,,,,,,x
brain_segment_created_by_process_id,03856361-d1b5-4983-a0fb-ae5a75d8ec6e,,An identifier of a process that created a brain segment.,,,,,,,,x
brain_segment_anatomical_division,ec2565cc-1a11-4d1d-9c98-7eeeca27fd82,,"The anatomical division that describes the brain segment; for example, whole brain, cerebrum, cerebellum, brainstem.",,,,,,,,x
brain_segment_barcode,516560ed-0715-475a-b717-6ccfa3ec2934,,A ohysical barcode label for a vessel holding a brain segment.,,,,,,,,x
brain_extraction_input_entity_label,29442943-7d3d-4126-8817-9c10e34c8b83,,A label of a primary input of a brain extraction process.,,,,,,,,x
brain_extraction_outpute_entity_label,583a312a-43de-4c00-91ad-ec65f6fed2df,,A label of a primary output of a brain extraction process.,,,,,,,,x
brain_extraction_process_id,d1549808-92c8-4cf8-8e88-ad98a123d645,,An identifier of a brain extraction process.,,,,,,,,x
donor_label,cb8ebdda-c8d2-4c29-b6cd-fcb5d0d6e720,,A label that refers to a donor.,,,,,,,,x
donor_age_at_death,3df398ff-c5ee-4754-aeb8-2dd86027622e,,The age of a donor at the time of death.,,,,,,,,x
donor_date_of_birth,4c376dcd-cf1f-4ccb-9d93-28ca73f53019,,The date of birth of a donor.,,,,,,,,x
donor_date_of_death,4cbe0de6-0d4d-4a7d-b38b-c483deaa0e3a,,The date of death of a donor.,,,,,,,,x
donor_full_genotype,0a4c3a68-b41f-47e6-8128-257abc2ccaa5,,The full genotype of a donor.,,,,,,,,x
donor_ncbitaxonomyid,6837cb02-6bd7-4fb8-838c-9062ead96ba4,,The NCBI taxonomy identifier of the organism type of this donor.,,,,,,,,x
donor_sex,632d3d3f-f85b-4efc-a1ab-010fe417ae81,,"The sex of this donor organism; for example, M or F.",,,,,,,,x
age_label,0630a265-4a63-48f4-8853-66b929002306,,A label that refers to an age.,,,,,,,,x
age_reference_point,3bed1f94-9d82-4ed7-afdf-79d896b24dbb,,"The reference point for an age interval; for example, birth or conception.",,,,,,,,x
age_unit,b5436e99-f0a7-4c30-825d-56b88ee2ac1d,,The unit used for representing the donor age from the reference point.,,,,,,,,x
age_value,57e24d3c-c9c7-4ef3-9809-a35802d563ec,,The value representing the donor age from the reference point.,,,,,,,,x
behavioral scoring available,ea33881a-9813-4111-979b-135355e8141e,behavioral_scoring_available,"The status (available, unavailable) of the behavioral scoring results for a subject/donor/specimen.",,,,,,x,,
behavioral scoring type,0a7a1eeb-8682-4261-8221-82d587dde0fa,behavioral_scoring_type,The type of behavioral scoring that is available for a subject/donor/specimen.,,,,,,x,,
non brain diagnosis description,4ba7c8cc-563c-4f0b-ab57-ae9c9762943f,non_brain_diagnosis_description,The description (text) of a non-brain diagnosis for a subject/donor/specimen.,,,,,,x,,
social group,7759b09d-a685-49fe-b7d8-e7f2b4772f52,social_group,The social group to which the subject belongs.,,,,,,x,,
trapping date,e2603f30-af26-4d24-b9e7-dcbd47e09914,trapping_date,The date on which the subject/specimen was trapped.,,,,,,x,,
trapping time,cc2ec53a-cd90-4bf5-9c49-c99ebb81498f,trapping_time,The time at which the subject/specimen was trapped.,,,,,,x,,
behavioral scoring available,ea33881a-9813-4111-979b-135355e8141e,behavioral_scoring_available,"The status (available, unavailable) of the behavioral scoring results for a subject/donor/specimen.",,,,,,x,,
behavioral scoring type,0a7a1eeb-8682-4261-8221-82d587dde0fa,behavioral_scoring_type,The type of behavioral scoring that is available for a subject/donor/specimen.,,,,,,x,,
ordinal dominance rank,080685e2-756a-446e-8d9d-5585c9ddd998,ordinal_dominance_rank,,,,,,,x,,
mating status,dd2ea811-b424-4b85-a572-16707a6612f3,mating_status,The mating status of the subject/donor.,,,,,,,x,
slab type,95d12973-310b-4631-87ea-94d698ef8030,slab_type,The type of brain slab specimen.,,,,,,,x,
slab thickness (mm),ba931b4b-ba49-4789-bf8d-d1b37aca5702,slab_thickness_mm,The thickness (in mm) of the brain slab specimen.,,,,,,,x,
mating status,dd2ea811-b424-4b85-a572-16707a6612f3,mating_status,The mating status of the subject/donor.,,,,,,,x,
antemortem MRI type,05ce0a33-16e7-4580-96b2-701c0ed4fbd2,antemortem_MRI_type,The specific type of antemortem MRI that is available.,,,,,,,x,
slab type,95d12973-310b-4631-87ea-94d698ef8030,slab_type,The type of brain slab specimen.,,,,,,,x,
slab thickness (mm),ba931b4b-ba49-4789-bf8d-d1b37aca5702,slab_thickness_mm,The thickness (in mm) of the brain slab specimen.,,,,,,,x,
