Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
name,f09d7148-9750-4a9c-8eba-da1a11c3b274,,,name of annotation key.,FALSE,,string,,,,,,,
description,63e9a887-cdf9-4248-ae83-41a720ce8f53,,,Some text describing what types of cell annotation this annotation key is used to record.,TRUE,,string,,,,,,,
annotation_method,2e91e232-dccb-4584-8a0b-0263660d6c08,,,"The method used for creating the cell annotations. This MUST be one of the following strings: 'algorithmic', 'manual', or 'both' . Must be one of: [""algorithmic"", ""manual"", ""both""].",TRUE,"algorithmic, manual, both",value set,,,,,,,
automated_annotation,9fba68df-a9f0-4cf9-994d-9b15f31fb88d,,,,TRUE,,object,,,,,,,
algorithm_name,fd9cb36e-5d29-45d7-8002-c4da15c9a3d1,,,The name of the algorithm used. It MUST be a string of the algorithm's name.,FALSE,,string,,,,,,,
algorithm_version,81ed9281-3f29-46e8-8e06-963afe3e27e4,,,"The version of the algorithm used (if applicable). It MUST be a string of the algorithm's version, which is typically in the format '[MAJOR].[MINOR]', but other versioning systems are permitted (based on the algorithm's versioning).",FALSE,,string,,,,,,,
algorithm_repo_url,ce81ab8b-3892-473d-883c-c8fa266376ec,,,This field denotes the URL of the version control repository associated with the algorithm used (if applicable). It MUST be a string of a valid URL.,FALSE,,string,,,,,,,
reference_location,4d60f911-5c5c-4ebc-a1df-b243a7252730,,,"This field denotes a valid URL of the annotated dataset that was the source of annotated reference data. This MUST be a string of a valid URL. The concept of a 'reference' specifically refers to 'annotation transfer' algorithms, whereby a 'reference' dataset is used to transfer cell annotations to the 'query' dataset.",TRUE,,string,,,,,,,
rank,25bb3ce6-eda7-47be-8855-317a3b1002ea,,,A number indicating relative granularity with 0 being the most specific. Use this where a single dataset has multiple keys that are used consistently to record annotations and different levels of granularity.,TRUE,,integer,,,,,,,
