Label,Description
GFAP,Glial fibrillary acidic protein stain
SMI-32,Anti-neurofilament H stain
MBP,Myelin basic protein stain
NeuN,Neuronal nuclei stain
ACHE,Anticholinesterase stain
Nissl,A stain that labels DNA and RNA
VGLUT2,A stain that labels glutamatergic terminals
