ID,Label,Code,Description
,Hispanic or Latino,C17459,"A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, ""Spanish origin"" can be used in addition to ""Hispanic or Latino""."
,Not Hispanic or Latino,C41222,"A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
,Prefer not to answer,C132222,A response indicating that an individual prefers or preferred not to answer. 
,Unknown,C17998,"Not known, observed, recorded; or reported as unknown by the data contributor. "
