BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
cel,91424b9e-c3fe-4e86-8f21-9faf2c5c7c7c,,,Celtic languages,
cze (B),85ee9be0-0f16-46a5-9ada-eb7e5a88471d,,,Czech,
ces (T),f0591c5e-04ec-46ae-af77-60ff085e2845,,,,
cha,34e5aeeb-efef-4696-b8a7-c12db128ca30,,,Chamorro,
chb,7615ac8e-6ff7-42dd-8c37-97eade8a1d2d,,,Chibcha,
che,3daff904-0ad5-4b66-b6aa-5037130d1ee9,,,Chechen,
chg,182e8667-ba05-4311-a3c6-47990e66da88,,,Chagatai,
chi (B),6eb7a20f-8618-4dd7-a924-675e9a5215f0,,,Chinese,
zho (T),2c7b5dee-b0ff-46f7-ae7c-b9f4ad48ec24,,,,
chk,4b7355e5-0374-4ec5-b208-dceaea3931cc,,,Chuukese,
chm,72aeaceb-8f76-469c-9346-2ac1e7fed031,,,Mari,
chn,3a41d909-12f6-4f41-80da-ccd448f50a1b,,,Chinook jargon,
cho,0210f6aa-0681-40b4-9338-c2d5c5eb1cc1,,,Choctaw,
chp,ff27c91c-764e-4d8f-a2de-6470669564d7,,,Chipewyan; Dene Suline,
chr,bef6f2f4-d725-4dc2-b61a-7f64fac2f1a6,,,Cherokee,
chu,7a2e37ca-0df2-4965-ad48-3659f215ae87,,,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,
chv,1526e9e5-5836-4aac-817b-94c2ba99289a,,,Chuvash,
chy,06b73c6c-2392-483f-8e06-c9ddc1f9d4f9,,,Cheyenne,
cmc,d216704e-fd3c-47cf-9162-44777e485a40,,,Chamic languages,
cnr,5312f6d1-6949-4002-ad52-0613049620a7,,,Montenegrin,
cop,0ca6394c-8b63-4d4c-8cab-c5ebd335a77a,,,Coptic,
cor,6d62a99d-7c26-48b9-93f7-6237046dfe9b,,,Cornish,
cos,54a585a8-559c-4b31-938c-a3190ce5f0d7,,,Corsican,
cpe,a362cf75-7ea6-486f-b6b0-2819241448da,,,"Creoles and pidgins, English based",
cpf,6694f1de-1bec-4fea-ad2b-89f05f776676,,,"Creoles and pidgins, French-based",
cpp,f0791192-e521-41cf-83f7-8a6dcf67b136,,,"Creoles and pidgins, Portuguese-based",
cre,32caf39e-56fd-4e53-a77f-8efe04dc2f46,,,Cree,
crh,277db374-de54-4c10-b6e2-9835d6311fe3,,,Crimean Tatar; Crimean Turkish,
crp,0809e7b5-8d08-49cc-bc3e-2922276edcee,,,Creoles and pidgins,
csb,b3876fce-f233-4f07-aa0c-f6f66708e9e1,,,Kashubian,
cus,9ce14e2b-d7eb-4e05-ac4c-f63816776274,,,Cushitic languages,
wel (B),076841b8-1d4c-49f3-9070-8b506ea27624,,,Welsh,
cym (T),b8967c36-3421-460e-adb3-e353892859b1,,,,
cze (B),512c3e1a-6f5e-4874-b2e0-6271b9dbfd8a,,,Czech,
ces (T),5c6453fa-98a7-4eba-b9ce-6c61482538f8,,,,
dak,cd0ce577-e924-4eae-9c2e-e0ec2ce5192f,,,Dakota,
dan,285ed6c7-c389-40f8-842c-39fd9e153a0c,,,Danish,
dar,9b21e863-396e-4b41-b15a-743d04002682,,,Dargwa,
day,5c8ce588-4899-40f2-8866-b63ee4d1094a,,,Land Dayak languages,
del,a3983b98-ec32-4c73-bc95-704bfadbd6a2,,,Delaware,
den,f423fb4a-81b6-4ac3-a414-1dce7a162060,,,Slave (Athapascan),
ger (B),7d299164-8f65-49a9-8812-10ef14e98402,,,German,
deu (T),2fedd1f2-8db4-4287-9146-efbee8e33f8d,,,,
dgr,7144a68f-0c0a-444a-ba54-f77e9b9ab528,,,Dogrib,
din,451996fc-4219-4a05-b6ff-74687cd75331,,,Dinka,
div,58ab5bca-b202-47f9-a181-9a1e274943d9,,,Divehi; Dhivehi; Maldivian,
doi,8fef64b4-402d-4e05-9f4a-5c103b124dd6,,,Dogri,
dra,161f1f35-d494-4c91-b87e-ad9486365394,,,Dravidian languages,
dsb,79ff4e9d-b621-408f-a71a-20f20f998ec3,,,Lower Sorbian,
dua,3255c163-4f56-45e8-9a2f-c0804332ab3a,,,Duala,
dum,26145bb3-8047-4cb1-a6a5-86b0fc04b13e,,,"Dutch, Middle (ca.1050-1350)",
dut (B),3bf617c3-8404-48d7-9d71-0c38e7d5a765,,,Dutch; Flemish,
nld (T),89a6bddc-32be-46a0-bd4c-18265430b610,,,,
dyu,091ca949-60af-4826-8b8c-d9d116c005df,,,Dyula,
dzo,acb78621-5dd0-42b1-adc1-fdab4fb125d0,,,Dzongkha,
efi,cce9f39b-dee3-42b3-a854-f3b82a8ad804,,,Efik,
egy,566493c8-6195-4cf1-962f-2455044e76a5,,,Egyptian (Ancient),
eka,e48f0368-fdf9-4f21-ab7d-358897900022,,,Ekajuk,
gre (B),6d16cbd3-7f75-4a46-81da-9789e1a3c5de,,,"Greek, Modern (1453-)",
ell (T),4fb55ee0-41ca-447a-aed1-c114560d91db,,,,
elx,16c18f4b-fb49-4b88-a70d-b4a2bbfb98ed,,,Elamite,
eng,65e9e79f-220c-4f12-8409-86ccda4b5111,,,English,
enm,e2d6959d-e1f8-4b26-95a8-86556b5b6c70,,,"English, Middle (1100-1500)",
epo,d16be295-aa1e-42a1-8d93-7a3f4301e446,,,Esperanto,
est,14eb5bdf-b658-43de-b6f7-2ddf50e3f2e8,,,Estonian,
baq (B),59bdd4a4-c498-417d-81f2-b8dcafe5b623,,,Basque,
eus (T),461410cb-7bd3-4b14-9e4a-1f029246e3e7,,,,
ewe,30479d19-c25d-4ae8-b290-57a89d218d51,,,Ewe,
ewo,6e96852a-7727-4647-b593-377b0caafde0,,,Ewondo,
fan,1e3f7f18-3a99-4196-8b3e-9fa90e72f9ee,,,Fang,
fao,76cb1790-2c1d-415f-a83d-5cb77755d4eb,,,Faroese,
per (B),143be644-2e95-47f5-889f-7b09fcb53152,,,Persian,
fas (T),8f49c569-d90b-4091-96d1-2e6f775d84d4,,,,
fat,2af8978a-50e4-4749-93cc-c54b27f5e109,,,Fanti,
fij,058b5b54-e3c2-4b19-b409-e0d39bf7b7f2,,,Fijian,
fil,64041acf-cd9a-4473-899e-5b9669db4cce,,,Filipino; Pilipino,
fin,8304c076-0979-4a9e-a619-417e6fa9cf88,,,Finnish,
fiu,916eaf4b-804d-4b0c-9453-55f08309295a,,,Finno-Ugrian languages,
fon,05e15856-0ca3-4b79-80ca-0a407b5abc51,,,Fon,
fre (B),5420442a-a1b8-449a-85fc-1aee27d423c0,,,French,
fra (T),8abc4230-de99-47f5-ad47-b9a92dc96ad8,,,,
fre (B),ee4895b3-0b83-4453-a07d-85582b190f4e,,,French,
fra (T),a9b866d0-e0ab-4019-b7c4-19695302b5aa,,,,
frm,5c7eb825-1093-46b9-972d-e96764b65a72,,,"French, Middle (ca.1400-1600)",
fro,cc958c01-f07a-43dc-bb0d-fea69638ccfd,,,"French, Old (842-ca.1400)",
frr,9237f914-943b-4d28-b675-281d203245a1,,,Northern Frisian,
frs,488dc3fa-4e0d-407c-806b-2fabc9886013,,,Eastern Frisian,
fry,87bd3668-a0dd-4e94-ad39-8ce32740e94d,,,Western Frisian,
ful,4cf1acd1-5e39-4de9-99ae-441b398b1085,,,Fulah,
fur,42bbc258-f0b1-4234-8b6f-b7d2d94a3a76,,,Friulian,
gaa,0c1460d1-27e7-4023-b871-6b04409e7db3,,,Ga,
gay,3b6d2f0e-5e40-4462-82a0-7ebb371a4965,,,Gayo,
gba,dac697cc-0a6a-4840-816f-52f47156de2b,,,Gbaya,
gem,69473152-db67-46bb-b724-22d37b2a8436,,,Germanic languages,
geo (B),42ae9045-c128-4335-bc2f-02845d988615,,,Georgian,
kat (T),858f0ad3-9d5f-4fbe-90d7-19a2e2574000,,,,
ger (B),ee111922-2ea8-491c-8688-4b78f7462ecc,,,German,
deu (T),b825e9c8-a2bd-41ad-9421-1ecd37f74c03,,,,
gez,21bc911f-c2f9-4117-9f5f-751f8a47b483,,,Geez,
gil,1a972595-f83b-4c2f-8436-314324f73892,,,Gilbertese,
gla,0cdcaba4-b237-403f-8a79-f6927855c8d3,,,Gaelic; Scottish Gaelic,
gle,33f64383-6e87-4913-8465-6ba3a84053a6,,,Irish,
glg,88409f71-ca01-4259-b82d-1e6ca4c6441d,,,Galician,
glv,46253ef2-0a40-4c70-8c2b-5d73f1708c81,,,Manx,
gmh,28152b71-7264-44ec-902b-00f474b168d6,,,"German, Middle High (ca.1050-1500)",
goh,42616f85-5e2d-48e2-8221-c5a203722722,,,"German, Old High (ca.750-1050)",
gon,33c91b3f-7b7e-4554-bc0f-dedc71c6dadf,,,Gondi,
gor,7a179eb7-1661-48a6-a707-4409c0537770,,,Gorontalo,
got,01e62ba7-d0bb-420b-93c6-fcc1d33256b8,,,Gothic,
grb,d1e3b738-ea51-4fa2-ae79-019dd90e11b6,,,Grebo,
grc,a3d915a6-9a44-4ca9-aaad-6c788220cbcc,,,"Greek, Ancient (to 1453)",
gre (B),3d2d17c0-a2ed-4136-96f8-5c221f668e13,,,"Greek, Modern (1453-)",
ell (T),df8d089c-4567-4a4f-842f-9eed2540f75a,,,,
