Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
web resource type,,type,,"Denotes the type of web resource - whether the resource routes to a download link, an informational resource or an interactive tool. ",FALSE,information | view | explore | download,exclusive_categorical,,,,,,WebResource,1,10/9/24
web resource title,,title,,A long form title for a web resource.,FALSE,,text,,,,,,WebResource,1,10/9/24
web resource short title,,short_title,,A short title for a web resource.,FALSE,,text,,,,,,WebResource,1,10/9/24
web resource universal resource locator,,url,,Path to a resource.,FALSE,,text,,,,,,WebResource,1,10/9/24
